2017 Oct 11 16:59:38 [9] INFO  - |||Production Version|||No Equity Longs (Method 1)|||No Net Notional Eq Long (Method 2)||
2017 Oct 11 16:59:39 [9] INFO  - |Date|Reg/Cross|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter
2017 Oct 11 16:59:46 [9] INFO  - |2/15/2008 12:00:00 AM|-0.48%|0.05%|0.63%|-0.60%|0.09%|0.63%|-0.56%|0.05%|0.63%|-0.60%
2017 Oct 11 16:59:46 [9] INFO  - |2/22/2008 12:00:00 AM|1.66%|0.47%|0.48%|0.00%|0.41%|0.42%|-0.01%|0.47%|0.48%|0.00%
2017 Oct 11 16:59:46 [9] INFO  - |2/29/2008 12:00:00 AM|1.60%|2.38%|4.36%|-1.97%|2.87%|4.88%|-1.99%|2.56%|4.54%|-1.96%
2017 Oct 11 16:59:46 [9] INFO  - |3/7/2008 12:00:00 AM|0.69%|1.36%|1.20%|0.17%|1.57%|1.38%|0.20%|1.36%|1.20%|0.17%
2017 Oct 11 16:59:46 [9] INFO  - |3/14/2008 12:00:00 AM|0.61%|0.61%|0.83%|-0.22%|0.66%|0.89%|-0.23%|0.61%|0.83%|-0.22%
2017 Oct 11 16:59:46 [9] INFO  - |3/21/2008 12:00:00 AM|1.88%|-0.12%|-1.43%|1.31%|-0.24%|-1.62%|1.39%|-0.12%|-1.43%|1.31%
2017 Oct 11 16:59:46 [9] INFO  - |3/28/2008 12:00:00 AM|0.04%|-0.82%|-0.51%|-0.34%|-0.76%|-0.36%|-0.42%|-0.82%|-0.51%|-0.34%
2017 Oct 11 16:59:46 [9] INFO  - |4/4/2008 12:00:00 AM|-0.95%|-2.20%|-2.36%|0.17%|-2.57%|-2.76%|0.20%|-2.19%|-2.35%|0.17%
2017 Oct 11 16:59:46 [9] INFO  - |4/11/2008 12:00:00 AM|0.58%|0.68%|1.71%|-1.04%|1.62%|2.57%|-0.94%|1.68%|2.66%|-0.96%
2017 Oct 11 16:59:46 [9] INFO  - |4/18/2008 12:00:00 AM|-1.81%|0.20%|0.62%|-0.38%|-1.32%|-0.97%|-0.33%|-1.32%|-0.99%|-0.32%
2017 Oct 11 16:59:47 [9] INFO  - |4/25/2008 12:00:00 AM|0.69%|-0.02%|0.06%|-0.08%|-0.07%|0.02%|-0.08%|0.03%|0.13%|-0.09%
2017 Oct 11 16:59:47 [9] INFO  - |5/2/2008 12:00:00 AM|-0.80%|0.27%|0.16%|0.12%|-0.18%|-0.25%|0.07%|-0.18%|-0.25%|0.07%
2017 Oct 11 16:59:47 [9] INFO  - |5/9/2008 12:00:00 AM|-2.17%|-1.34%|-0.96%|-0.40%|-1.00%|-0.65%|-0.37%|-0.99%|-0.66%|-0.35%
2017 Oct 11 16:59:47 [9] INFO  - |5/16/2008 12:00:00 AM|0.90%|1.92%|2.17%|-0.24%|1.22%|1.45%|-0.24%|1.24%|1.45%|-0.21%
2017 Oct 11 16:59:47 [9] INFO  - |5/23/2008 12:00:00 AM|-0.43%|-0.72%|-0.35%|-0.37%|0.31%|0.97%|-0.67%|0.15%|1.04%|-0.90%
2017 Oct 11 16:59:47 [9] INFO  - |5/30/2008 12:00:00 AM|2.21%|1.04%|1.07%|-0.06%|0.60%|0.56%|0.01%|0.59%|0.56%|0.01%
2017 Oct 11 16:59:47 [9] INFO  - |6/6/2008 12:00:00 AM|0.57%|-1.78%|-1.66%|-0.14%|-0.40%|-0.14%|-0.27%|-0.37%|-0.11%|-0.27%
2017 Oct 11 16:59:47 [9] INFO  - |6/13/2008 12:00:00 AM|-0.34%|1.27%|1.50%|-0.19%|1.93%|2.21%|-0.24%|1.74%|1.99%|-0.24%
2017 Oct 11 16:59:47 [9] INFO  - |6/20/2008 12:00:00 AM|0.79%|-0.41%|-0.59%|0.19%|0.43%|0.40%|0.03%|0.38%|0.34%|0.05%
2017 Oct 11 16:59:47 [9] INFO  - |6/27/2008 12:00:00 AM|1.07%|-0.04%|-0.17%|0.11%|0.54%|0.48%|0.05%|0.10%|0.00%|0.08%
2017 Oct 11 16:59:47 [9] INFO  - |7/4/2008 12:00:00 AM|0.94%|1.09%|1.78%|-0.69%|1.56%|2.25%|-0.68%|1.09%|1.78%|-0.69%
2017 Oct 11 16:59:47 [9] INFO  - |7/11/2008 12:00:00 AM|0.27%|3.02%|-1.79%|4.79%|2.98%|-1.83%|4.79%|3.02%|-1.79%|4.79%
2017 Oct 11 16:59:47 [9] INFO  - |7/18/2008 12:00:00 AM|-0.21%|-1.76%|-1.87%|0.11%|-1.76%|-1.87%|0.12%|-1.76%|-1.87%|0.11%
2017 Oct 11 16:59:47 [9] INFO  - |7/25/2008 12:00:00 AM|-0.40%|-1.83%|-1.93%|0.13%|-1.76%|-1.85%|0.12%|-1.83%|-1.93%|0.13%
