2017 Oct 11 16:59:08 [10] INFO  - ,,,Production Version,,,No Equity Longs (Method 1),,,No Net Notional Eq Long (Method 2),,
2017 Oct 11 16:59:09 [10] INFO  - ,1/18/2013 12:00:00 AM,1.41%,0.99%,0.63%,0.37%,0.74%,0.59%,0.17%,0.93%,0.54%,0.40%
2017 Oct 11 16:59:09 [10] INFO  - ,1/25/2013 12:00:00 AM,0.17%,0.29%,0.46%,-0.17%,-0.51%,-0.17%,-0.33%,-0.37%,-0.28%,-0.08%
2017 Oct 11 16:59:09 [10] INFO  - ,2/1/2013 12:00:00 AM,-0.16%,0.97%,1.13%,-0.16%,0.26%,0.64%,-0.39%,0.37%,0.59%,-0.22%
2017 Oct 11 16:59:09 [10] INFO  - ,2/8/2013 12:00:00 AM,1.56%,-1.35%,-0.90%,-0.46%,-0.76%,-0.39%,-0.37%,-0.71%,-0.44%,-0.28%
2017 Oct 11 16:59:09 [10] INFO  - ,2/15/2013 12:00:00 AM,-0.18%,0.99%,1.37%,-0.38%,0.96%,1.38%,-0.42%,1.11%,1.31%,-0.20%
2017 Oct 11 16:59:09 [10] INFO  - ,2/22/2013 12:00:00 AM,0.83%,-0.01%,0.03%,-0.04%,-0.47%,-0.49%,0.00%,-0.83%,-0.54%,-0.30%
2017 Oct 11 16:59:09 [10] INFO  - ,3/1/2013 12:00:00 AM,2.43%,-1.43%,-1.13%,-0.30%,-1.54%,-1.24%,-0.31%,-1.53%,-1.21%,-0.31%
2017 Oct 11 16:59:09 [10] INFO  - ,3/8/2013 12:00:00 AM,0.28%,-0.57%,0.40%,-0.96%,-1.74%,-0.28%,-1.45%,-1.56%,-0.35%,-1.19%
2017 Oct 11 16:59:09 [10] INFO  - ,3/15/2013 12:00:00 AM,1.70%,0.97%,1.06%,-0.07%,1.13%,1.11%,0.03%,1.25%,1.07%,0.19%
2017 Oct 11 16:59:09 [10] INFO  - ,3/22/2013 12:00:00 AM,0.48%,0.20%,-0.36%,0.57%,0.85%,0.29%,0.58%,0.48%,0.30%,0.20%
2017 Oct 11 16:59:09 [10] INFO  - ,3/29/2013 12:00:00 AM,0.48%,2.97%,2.76%,0.21%,2.96%,2.71%,0.25%,3.07%,2.66%,0.41%
2017 Oct 11 16:59:09 [10] INFO  - ,4/5/2013 12:00:00 AM,0.00%,0.76%,0.61%,0.13%,1.48%,1.33%,0.15%,1.12%,1.43%,-0.32%
2017 Oct 11 16:59:09 [10] INFO  - ,4/12/2013 12:00:00 AM,1.51%,2.03%,2.29%,-0.31%,0.36%,1.00%,-0.68%,0.43%,0.91%,-0.52%
2017 Oct 11 16:59:09 [10] INFO  - ,4/19/2013 12:00:00 AM,-0.03%,-0.41%,-1.41%,1.04%,1.66%,0.86%,0.85%,1.70%,1.24%,0.52%
2017 Oct 11 16:59:09 [10] INFO  - ,4/26/2013 12:00:00 AM,1.16%,3.59%,1.82%,1.77%,0.84%,-0.04%,0.88%,0.84%,-0.04%,0.88%
2017 Oct 11 16:59:09 [10] INFO  - ,5/3/2013 12:00:00 AM,1.42%,0.68%,-0.06%,0.73%,-1.02%,-1.44%,0.40%,-1.03%,-1.47%,0.43%
2017 Oct 11 16:59:09 [10] INFO  - ,5/10/2013 12:00:00 AM,-0.96%,-0.30%,-1.21%,0.90%,-1.36%,-2.70%,1.33%,-1.35%,-2.75%,1.38%
2017 Oct 11 16:59:09 [10] INFO  - ,5/17/2013 12:00:00 AM,0.25%,1.44%,1.33%,0.07%,1.07%,0.73%,0.29%,1.23%,0.53%,0.65%
2017 Oct 11 16:59:09 [10] INFO  - ,5/24/2013 12:00:00 AM,0.09%,0.76%,-1.14%,1.88%,0.98%,-0.92%,1.88%,0.65%,-1.39%,2.03%
2017 Oct 11 16:59:09 [10] INFO  - ,5/31/2013 12:00:00 AM,1.62%,-3.61%,-2.90%,-0.71%,-3.51%,-2.79%,-0.73%,-3.61%,-2.90%,-0.71%
2017 Oct 11 16:59:09 [10] INFO  - ,6/7/2013 12:00:00 AM,0.42%,0.69%,-0.33%,1.02%,1.55%,0.27%,1.27%,0.98%,0.33%,0.63%
2017 Oct 11 16:59:09 [10] INFO  - ,6/14/2013 12:00:00 AM,0.29%,-0.95%,-1.37%,0.41%,-0.31%,-0.96%,0.64%,-0.38%,-0.86%,0.47%
2017 Oct 11 16:59:09 [10] INFO  - ,6/21/2013 12:00:00 AM,5.21%,-0.25%,-0.09%,-0.17%,0.56%,0.58%,-0.04%,0.45%,0.62%,-0.20%
2017 Oct 11 16:59:09 [10] INFO  - ,6/28/2013 12:00:00 AM,-0.71%,-0.37%,0.18%,-0.54%,-1.26%,-0.72%,-0.54%,-0.98%,-0.43%,-0.55%
2017 Oct 11 16:59:09 [10] INFO  - ,7/5/2013 12:00:00 AM,-0.03%,2.55%,2.62%,-0.07%,1.58%,1.53%,0.06%,1.62%,1.58%,0.05%
2017 Oct 11 16:59:09 [10] INFO  - ,7/12/2013 12:00:00 AM,-1.04%,-0.61%,-0.88%,0.29%,-1.97%,-2.13%,0.18%,-1.92%,-2.22%,0.33%
2017 Oct 11 16:59:09 [10] INFO  - ,7/19/2013 12:00:00 AM,-1.09%,-0.80%,-0.06%,-0.74%,-0.83%,-0.21%,-0.62%,-0.66%,-0.27%,-0.40%
2017 Oct 11 16:59:09 [10] INFO  - ,7/26/2013 12:00:00 AM,-0.01%,0.88%,0.17%,0.71%,0.59%,-0.01%,0.61%,0.52%,0.01%,0.52%
2017 Oct 11 16:59:09 [10] INFO  - ,8/2/2013 12:00:00 AM,0.22%,2.59%,3.52%,-0.92%,1.85%,2.64%,-0.79%,2.03%,2.49%,-0.46%
2017 Oct 11 16:59:09 [10] INFO  - ,8/9/2013 12:00:00 AM,-0.28%,-1.25%,-1.43%,0.18%,-0.64%,-0.94%,0.29%,-0.83%,-0.93%,0.10%
2017 Oct 11 16:59:09 [10] INFO  - ,8/16/2013 12:00:00 AM,-0.58%,2.39%,1.52%,0.88%,2.06%,1.38%,0.68%,1.74%,1.44%,0.29%
2017 Oct 11 16:59:09 [10] INFO  - ,8/23/2013 12:00:00 AM,1.17%,-0.21%,0.06%,-0.27%,-0.22%,-0.03%,-0.20%,-0.18%,-0.05%,-0.13%
2017 Oct 11 16:59:09 [10] INFO  - ,8/30/2013 12:00:00 AM,0.06%,-0.87%,-0.96%,0.10%,-0.24%,-0.33%,0.10%,-0.31%,-0.28%,-0.02%
2017 Oct 11 16:59:09 [10] INFO  - ,9/6/2013 12:00:00 AM,-0.22%,2.13%,2.22%,-0.09%,1.35%,1.36%,-0.01%,1.42%,1.32%,0.09%
2017 Oct 11 16:59:09 [10] INFO  - ,9/13/2013 12:00:00 AM,-0.13%,0.23%,0.51%,-0.28%,-0.42%,-0.16%,-0.26%,-0.35%,-0.20%,-0.15%
2017 Oct 11 16:59:09 [10] INFO  - ,9/20/2013 12:00:00 AM,0.59%,-0.63%,0.12%,-0.73%,-1.03%,-0.49%,-0.52%,-0.99%,-0.52%,-0.45%
2017 Oct 11 16:59:09 [10] INFO  - ,9/27/2013 12:00:00 AM,1.27%,-1.59%,-1.66%,0.04%,-1.33%,-1.42%,0.07%,-1.34%,-1.34%,-0.02%
2017 Oct 11 16:59:09 [10] INFO  - ,10/4/2013 12:00:00 AM,0.01%,0.04%,0.12%,-0.07%,0.24%,0.34%,-0.09%,0.34%,0.31%,0.04%
2017 Oct 11 16:59:09 [10] INFO  - ,10/11/2013 12:00:00 AM,0.34%,1.20%,0.96%,0.24%,0.38%,0.16%,0.22%,0.28%,0.07%,0.21%
2017 Oct 11 16:59:09 [10] INFO  - ,10/18/2013 12:00:00 AM,1.45%,0.30%,0.59%,-0.29%,-0.26%,0.13%,-0.40%,-0.13%,0.10%,-0.23%
2017 Oct 11 16:59:09 [10] INFO  - ,10/25/2013 12:00:00 AM,0.61%,-1.07%,-0.97%,-0.07%,-1.27%,-1.11%,-0.15%,-1.22%,-1.12%,-0.09%
2017 Oct 11 16:59:09 [10] INFO  - ,11/1/2013 12:00:00 AM,0.19%,0.62%,0.42%,0.20%,0.41%,0.34%,0.08%,0.20%,0.34%,-0.13%
2017 Oct 11 16:59:09 [10] INFO  - ,11/8/2013 12:00:00 AM,-0.49%,-0.42%,-0.05%,-0.37%,-0.28%,0.02%,-0.30%,-0.22%,-0.01%,-0.21%
2017 Oct 11 16:59:09 [10] INFO  - ,11/15/2013 12:00:00 AM,0.66%,1.33%,1.64%,-0.28%,0.86%,1.24%,-0.37%,1.30%,1.10%,0.21%
2017 Oct 11 16:59:09 [10] INFO  - ,11/22/2013 12:00:00 AM,-0.30%,1.29%,0.95%,0.35%,1.13%,0.86%,0.29%,1.14%,0.84%,0.31%
2017 Oct 11 16:59:09 [10] INFO  - ,11/29/2013 12:00:00 AM,0.89%,-0.66%,0.29%,-0.94%,-1.07%,0.07%,-1.12%,-0.73%,-0.01%,-0.70%
2017 Oct 11 16:59:09 [10] INFO  - ,12/6/2013 12:00:00 AM,-1.44%,0.77%,-0.66%,1.45%,1.73%,-0.04%,1.78%,1.17%,0.09%,1.08%
2017 Oct 11 16:59:09 [10] INFO  - ,12/13/2013 12:00:00 AM,0.43%,-2.41%,-2.30%,-0.12%,-0.89%,-0.96%,0.07%,-1.36%,-0.94%,-0.43%
2017 Oct 11 16:59:09 [10] INFO  - ,12/20/2013 12:00:00 AM,-1.44%,3.21%,3.09%,0.12%,1.17%,1.84%,-0.65%,1.85%,1.78%,0.09%
2017 Oct 11 16:59:09 [10] INFO  - ,12/27/2013 12:00:00 AM,-1.28%,0.99%,1.56%,-0.54%,0.25%,0.79%,-0.53%,0.38%,0.74%,-0.35%
2017 Oct 11 16:59:09 [10] INFO  - ,1/3/2014 12:00:00 AM,0.00%,-1.76%,-2.37%,0.61%,-1.49%,-2.11%,0.62%,-1.65%,-2.07%,0.42%
2017 Oct 11 16:59:09 [10] INFO  - ,1/10/2014 12:00:00 AM,1.81%,-1.51%,-1.20%,-0.29%,-1.52%,-1.17%,-0.34%,-1.29%,-1.07%,-0.22%
2017 Oct 11 16:59:09 [10] INFO  - ,1/17/2014 12:00:00 AM,0.25%,0.57%,0.84%,-0.24%,0.13%,0.64%,-0.49%,0.70%,0.48%,0.23%
2017 Oct 11 16:59:09 [10] INFO  - ,1/24/2014 12:00:00 AM,1.61%,1.99%,1.14%,0.87%,2.54%,1.66%,0.91%,1.94%,1.80%,0.15%
2017 Oct 11 16:59:09 [10] INFO  - ,1/31/2014 12:00:00 AM,1.23%,0.13%,-0.12%,0.23%,0.59%,0.33%,0.24%,0.44%,0.33%,0.10%
2017 Oct 11 16:59:09 [10] INFO  - ,2/7/2014 12:00:00 AM,0.29%,0.77%,0.31%,0.45%,0.32%,-0.32%,0.64%,0.07%,-0.25%,0.32%
2017 Oct 11 16:59:09 [10] INFO  - ,2/14/2014 12:00:00 AM,1.17%,0.52%,0.54%,-0.03%,-0.51%,-0.41%,-0.11%,-0.32%,-0.49%,0.16%
2017 Oct 11 16:59:09 [10] INFO  - ,2/21/2014 12:00:00 AM,0.68%,0.64%,0.87%,-0.25%,0.22%,0.60%,-0.40%,0.33%,0.59%,-0.27%
2017 Oct 11 16:59:09 [10] INFO  - ,2/28/2014 12:00:00 AM,0.67%,1.82%,0.77%,1.04%,1.52%,0.62%,0.89%,1.77%,0.60%,1.17%
2017 Oct 11 16:59:09 [10] INFO  - ,3/7/2014 12:00:00 AM,-0.83%,-0.59%,-0.73%,0.14%,-0.51%,-0.78%,0.26%,-0.30%,-0.73%,0.43%
2017 Oct 11 16:59:09 [10] INFO  - ,3/14/2014 12:00:00 AM,0.79%,0.70%,-0.92%,1.61%,1.60%,0.49%,1.09%,1.15%,0.66%,0.48%
2017 Oct 11 16:59:09 [10] INFO  - ,3/21/2014 12:00:00 AM,-0.69%,-0.34%,-1.60%,1.25%,-0.71%,-2.30%,1.57%,-0.47%,-2.32%,1.84%
2017 Oct 11 16:59:09 [10] INFO  - ,3/28/2014 12:00:00 AM,0.77%,1.60%,1.62%,-0.01%,1.24%,1.25%,-0.03%,1.04%,1.33%,-0.29%
2017 Oct 11 16:59:09 [10] INFO  - ,4/4/2014 12:00:00 AM,0.39%,0.08%,-0.10%,0.18%,-0.23%,-0.43%,0.19%,-0.14%,-0.43%,0.29%
2017 Oct 11 16:59:09 [10] INFO  - ,4/11/2014 12:00:00 AM,-0.05%,0.81%,0.86%,-0.05%,1.03%,1.13%,-0.10%,0.76%,1.20%,-0.44%
2017 Oct 11 16:59:09 [10] INFO  - ,4/18/2014 12:00:00 AM,0.01%,0.59%,0.51%,0.08%,0.17%,0.18%,-0.01%,0.28%,0.13%,0.16%
2017 Oct 11 16:59:09 [10] INFO  - ,4/25/2014 12:00:00 AM,0.71%,0.47%,-0.10%,0.57%,0.60%,0.00%,0.60%,0.57%,0.01%,0.56%
2017 Oct 11 16:59:09 [10] INFO  - ,5/2/2014 12:00:00 AM,1.16%,1.47%,1.83%,-0.36%,0.74%,1.13%,-0.38%,0.73%,1.13%,-0.39%
2017 Oct 11 16:59:09 [10] INFO  - ,5/9/2014 12:00:00 AM,-0.23%,0.65%,-0.04%,0.70%,0.64%,0.11%,0.54%,0.62%,0.14%,0.48%
2017 Oct 11 16:59:09 [10] INFO  - ,5/16/2014 12:00:00 AM,1.32%,3.70%,2.86%,0.83%,3.06%,2.43%,0.62%,3.12%,2.37%,0.74%
2017 Oct 11 16:59:09 [10] INFO  - ,5/23/2014 12:00:00 AM,0.41%,0.67%,0.95%,-0.27%,-0.52%,0.23%,-0.74%,-0.42%,0.09%,-0.50%
2017 Oct 11 16:59:09 [10] INFO  - ,5/30/2014 12:00:00 AM,0.76%,1.51%,1.18%,0.33%,0.83%,0.82%,0.02%,0.95%,0.73%,0.23%
2017 Oct 11 16:59:09 [10] INFO  - ,6/6/2014 12:00:00 AM,0.32%,0.32%,-0.43%,0.74%,-0.07%,-0.82%,0.76%,0.27%,-0.92%,1.18%
2017 Oct 11 16:59:09 [10] INFO  - ,6/13/2014 12:00:00 AM,-0.93%,4.17%,2.39%,1.80%,4.15%,2.40%,1.76%,4.14%,2.23%,1.92%
2017 Oct 11 16:59:09 [10] INFO  - ,6/20/2014 12:00:00 AM,-0.36%,-0.34%,0.05%,-0.38%,-0.40%,-0.02%,-0.37%,-0.34%,0.05%,-0.38%
2017 Oct 11 16:59:09 [10] INFO  - ,6/27/2014 12:00:00 AM,1.09%,0.72%,0.53%,0.17%,0.74%,0.55%,0.17%,0.72%,0.53%,0.17%
2017 Oct 11 16:59:09 [10] INFO  - ,7/4/2014 12:00:00 AM,1.30%,-1.63%,-0.73%,-0.90%,-2.07%,-1.07%,-1.01%,-1.63%,-0.73%,-0.90%
2017 Oct 11 16:59:09 [10] INFO  - ,7/11/2014 12:00:00 AM,1.79%,0.18%,-0.43%,0.60%,0.80%,0.33%,0.45%,0.31%,-0.04%,0.33%
2017 Oct 11 16:59:09 [10] INFO  - ,7/18/2014 12:00:00 AM,-0.06%,0.37%,0.33%,0.04%,-0.22%,-0.06%,-0.16%,-0.47%,-0.40%,-0.06%
2017 Oct 11 16:59:09 [10] INFO  - ,7/25/2014 12:00:00 AM,0.35%,1.33%,1.19%,0.14%,0.85%,0.45%,0.40%,0.85%,0.16%,0.68%
2017 Oct 11 16:59:09 [10] INFO  - ,8/1/2014 12:00:00 AM,-1.30%,-1.47%,-2.43%,0.98%,-0.88%,-1.95%,1.07%,-1.47%,-2.43%,0.98%
2017 Oct 11 16:59:09 [10] INFO  - ,8/8/2014 12:00:00 AM,0.11%,-0.11%,0.30%,-0.40%,0.28%,0.56%,-0.28%,0.30%,0.58%,-0.27%
2017 Oct 11 16:59:09 [10] INFO  - ,8/15/2014 12:00:00 AM,2.79%,0.19%,0.87%,-0.68%,-0.48%,0.37%,-0.85%,-0.01%,0.29%,-0.30%
2017 Oct 11 16:59:09 [10] INFO  - ,8/22/2014 12:00:00 AM,1.24%,0.05%,-0.06%,0.10%,-0.75%,-0.68%,-0.06%,-0.40%,-0.73%,0.32%
2017 Oct 11 16:59:09 [10] INFO  - ,8/29/2014 12:00:00 AM,1.44%,1.56%,1.66%,-0.10%,1.04%,1.28%,-0.23%,1.17%,1.36%,-0.18%
2017 Oct 11 16:59:09 [10] INFO  - ,9/5/2014 12:00:00 AM,0.04%,4.09%,2.37%,1.71%,3.38%,1.86%,1.52%,4.09%,2.37%,1.71%
2017 Oct 11 16:59:09 [10] INFO  - ,9/12/2014 12:00:00 AM,-2.18%,0.37%,-1.62%,2.00%,0.60%,-1.50%,2.11%,0.37%,-1.62%,2.00%
2017 Oct 11 16:59:09 [10] INFO  - ,9/19/2014 12:00:00 AM,1.40%,2.00%,1.37%,0.62%,1.69%,1.17%,0.51%,2.00%,1.37%,0.62%
2017 Oct 11 16:59:09 [10] INFO  - ,9/26/2014 12:00:00 AM,1.08%,0.98%,0.27%,0.73%,1.86%,0.81%,1.06%,1.28%,0.44%,0.85%
2017 Oct 11 16:59:09 [10] INFO  - ,10/3/2014 12:00:00 AM,2.69%,1.87%,1.83%,0.05%,3.25%,2.74%,0.52%,2.95%,2.70%,0.26%
2017 Oct 11 16:59:09 [10] INFO  - ,10/10/2014 12:00:00 AM,1.47%,0.97%,0.78%,0.19%,3.78%,3.19%,0.58%,3.33%,3.41%,-0.09%
2017 Oct 11 16:59:09 [10] INFO  - ,10/17/2014 12:00:00 AM,1.25%,-0.27%,1.02%,-1.30%,-0.46%,0.88%,-1.34%,-0.38%,1.25%,-1.63%
2017 Oct 11 16:59:09 [10] INFO  - ,10/24/2014 12:00:00 AM,1.48%,2.37%,2.52%,-0.14%,0.62%,0.61%,0.01%,0.82%,0.84%,-0.02%
2017 Oct 11 16:59:09 [10] INFO  - ,10/31/2014 12:00:00 AM,1.08%,2.77%,2.86%,-0.08%,1.61%,1.61%,0.00%,1.62%,1.62%,0.01%
2017 Oct 11 16:59:09 [10] INFO  - ,11/7/2014 12:00:00 AM,0.62%,-0.16%,0.15%,-0.31%,-0.17%,0.25%,-0.42%,0.04%,0.22%,-0.18%
2017 Oct 11 16:59:09 [10] INFO  - ,11/14/2014 12:00:00 AM,0.65%,0.43%,1.03%,-0.60%,0.14%,0.82%,-0.70%,0.33%,0.82%,-0.51%
2017 Oct 11 16:59:09 [10] INFO  - ,11/21/2014 12:00:00 AM,0.68%,0.83%,1.57%,-0.79%,0.19%,0.97%,-0.82%,0.51%,0.97%,-0.50%
2017 Oct 11 16:59:09 [10] INFO  - ,11/28/2014 12:00:00 AM,3.01%,3.08%,6.07%,-2.99%,2.52%,5.50%,-2.98%,2.83%,5.50%,-2.66%
2017 Oct 11 16:59:09 [10] INFO  - ,12/5/2014 12:00:00 AM,0.37%,-1.34%,-1.45%,0.12%,-1.14%,-1.24%,0.11%,-1.13%,-1.24%,0.12%
2017 Oct 11 16:59:09 [10] INFO  - ,12/12/2014 12:00:00 AM,-2.21%,-0.26%,-0.02%,-0.23%,0.53%,0.77%,-0.22%,0.37%,0.81%,-0.43%
2017 Oct 11 16:59:09 [10] INFO  - ,12/19/2014 12:00:00 AM,0.92%,1.32%,1.39%,-0.11%,0.38%,0.38%,-0.02%,0.41%,0.38%,0.03%
2017 Oct 11 16:59:09 [10] INFO  - ,12/26/2014 12:00:00 AM,-0.12%,0.70%,0.89%,-0.20%,0.39%,0.55%,-0.18%,0.46%,0.55%,-0.10%
2017 Oct 11 16:59:09 [10] INFO  - ,1/2/2015 12:00:00 AM,0.29%,0.24%,0.96%,-0.71%,0.25%,1.01%,-0.74%,0.14%,1.02%,-0.87%
2017 Oct 11 16:59:09 [10] INFO  - ,1/9/2015 12:00:00 AM,0.05%,0.13%,0.46%,-0.35%,0.28%,0.59%,-0.31%,0.25%,0.60%,-0.35%
2017 Oct 11 16:59:09 [10] INFO  - ,1/16/2015 12:00:00 AM,1.21%,3.98%,4.43%,-0.49%,3.67%,4.06%,-0.40%,3.65%,4.07%,-0.43%
2017 Oct 11 16:59:09 [10] INFO  - ,1/23/2015 12:00:00 AM,2.52%,1.12%,1.35%,-0.22%,0.39%,0.57%,-0.17%,0.42%,0.56%,-0.14%
2017 Oct 11 16:59:09 [10] INFO  - ,1/30/2015 12:00:00 AM,1.06%,0.92%,0.90%,0.00%,0.95%,0.96%,-0.01%,0.91%,0.95%,-0.04%
2017 Oct 11 16:59:09 [10] INFO  - ,2/6/2015 12:00:00 AM,-0.76%,1.37%,1.19%,0.19%,0.93%,0.70%,0.24%,0.97%,0.69%,0.28%
2017 Oct 11 16:59:09 [10] INFO  - ,2/13/2015 12:00:00 AM,0.32%,-0.40%,-0.38%,-0.03%,-0.42%,-0.41%,-0.03%,-0.34%,-0.43%,0.07%
2017 Oct 11 16:59:09 [10] INFO  - ,2/20/2015 12:00:00 AM,0.87%,0.28%,0.50%,-0.21%,0.26%,0.47%,-0.21%,0.24%,0.47%,-0.22%
2017 Oct 11 16:59:09 [10] INFO  - ,2/27/2015 12:00:00 AM,1.02%,0.66%,0.83%,-0.19%,0.65%,0.83%,-0.19%,0.66%,0.83%,-0.19%
2017 Oct 11 16:59:09 [10] INFO  - ,3/6/2015 12:00:00 AM,-1.19%,1.18%,-0.17%,1.35%,1.36%,-0.01%,1.36%,1.18%,-0.17%,1.35%
2017 Oct 11 16:59:09 [10] INFO  - ,3/13/2015 12:00:00 AM,1.40%,2.41%,3.81%,-1.41%,2.52%,3.89%,-1.38%,2.41%,3.81%,-1.41%
2017 Oct 11 16:59:09 [10] INFO  - ,3/20/2015 12:00:00 AM,0.71%,-0.08%,0.07%,-0.15%,-0.37%,-0.25%,-0.12%,-0.23%,-0.17%,-0.07%
2017 Oct 11 16:59:09 [10] INFO  - ,3/27/2015 12:00:00 AM,-0.36%,-0.09%,-0.24%,0.16%,-0.13%,-0.28%,0.17%,-0.20%,-0.27%,0.09%
2017 Oct 11 16:59:09 [10] INFO  - ,4/3/2015 12:00:00 AM,0.19%,0.58%,0.66%,-0.09%,0.36%,0.42%,-0.07%,0.38%,0.42%,-0.06%
2017 Oct 11 16:59:09 [10] INFO  - ,4/10/2015 12:00:00 AM,0.94%,1.34%,1.55%,-0.18%,0.46%,0.59%,-0.10%,0.53%,0.59%,-0.03%
2017 Oct 11 16:59:09 [10] INFO  - ,4/17/2015 12:00:00 AM,0.00%,-0.10%,-0.83%,0.73%,-0.14%,-0.76%,0.62%,-0.18%,-0.91%,0.73%
2017 Oct 11 16:59:09 [10] INFO  - ,4/24/2015 12:00:00 AM,-0.09%,1.05%,1.02%,0.04%,0.61%,0.43%,0.19%,1.05%,1.02%,0.04%
2017 Oct 11 16:59:09 [10] INFO  - ,5/1/2015 12:00:00 AM,-2.06%,0.23%,-4.11%,4.36%,0.40%,-3.71%,4.12%,0.19%,-4.19%,4.38%
2017 Oct 11 16:59:09 [10] INFO  - ,5/8/2015 12:00:00 AM,-0.76%,-1.53%,-1.09%,-0.43%,-1.30%,-0.92%,-0.38%,-1.33%,-0.84%,-0.49%
2017 Oct 11 16:59:09 [10] INFO  - ,5/15/2015 12:00:00 AM,0.06%,-0.58%,-0.71%,0.12%,-0.71%,-0.87%,0.15%,-0.53%,-0.88%,0.34%
2017 Oct 11 16:59:09 [10] INFO  - ,5/22/2015 12:00:00 AM,0.24%,1.30%,1.67%,-0.39%,1.10%,1.42%,-0.33%,1.17%,1.42%,-0.26%
2017 Oct 11 16:59:09 [10] INFO  - ,5/29/2015 12:00:00 AM,2.03%,3.21%,3.42%,-0.21%,3.07%,3.23%,-0.16%,3.06%,3.31%,-0.24%
2017 Oct 11 16:59:09 [10] INFO  - ,6/5/2015 12:00:00 AM,-1.30%,0.04%,-2.29%,2.33%,0.37%,-1.86%,2.22%,0.04%,-2.29%,2.33%
2017 Oct 11 16:59:09 [10] INFO  - ,6/12/2015 12:00:00 AM,-0.02%,-1.73%,-1.26%,-0.48%,-1.74%,-1.21%,-0.56%,-1.50%,-1.30%,-0.22%
2017 Oct 11 16:59:09 [10] INFO  - ,6/19/2015 12:00:00 AM,0.80%,-0.47%,0.49%,-0.96%,-0.07%,0.90%,-0.96%,0.12%,0.89%,-0.77%
2017 Oct 11 16:59:09 [10] INFO  - ,6/26/2015 12:00:00 AM,0.51%,0.06%,-0.35%,0.40%,-0.58%,-0.86%,0.28%,-0.53%,-1.11%,0.57%
2017 Oct 11 16:59:09 [10] INFO  - ,7/3/2015 12:00:00 AM,1.01%,0.71%,0.41%,0.31%,1.28%,1.47%,-0.19%,0.93%,1.57%,-0.65%
2017 Oct 11 16:59:09 [10] INFO  - ,7/10/2015 12:00:00 AM,-0.41%,0.84%,0.26%,0.59%,1.10%,0.98%,0.13%,1.17%,0.99%,0.19%
2017 Oct 11 16:59:09 [10] INFO  - ,7/17/2015 12:00:00 AM,2.58%,1.05%,1.82%,-0.77%,0.65%,1.37%,-0.71%,0.99%,1.18%,-0.19%
2017 Oct 11 16:59:09 [10] INFO  - ,7/24/2015 12:00:00 AM,0.41%,1.17%,0.77%,0.39%,1.42%,1.05%,0.36%,1.27%,1.15%,0.12%
2017 Oct 11 16:59:09 [10] INFO  - ,7/31/2015 12:00:00 AM,0.05%,2.20%,2.20%,0.03%,1.45%,1.58%,-0.09%,1.61%,1.61%,0.02%
2017 Oct 11 16:59:09 [10] INFO  - ,8/7/2015 12:00:00 AM,0.46%,-1.01%,-0.01%,-0.99%,-0.57%,0.30%,-0.87%,-0.79%,0.14%,-0.94%
2017 Oct 11 16:59:09 [10] INFO  - ,8/14/2015 12:00:00 AM,0.74%,0.42%,0.17%,0.23%,0.50%,0.24%,0.24%,0.02%,0.37%,-0.36%
2017 Oct 11 16:59:09 [10] INFO  - ,8/21/2015 12:00:00 AM,0.31%,1.27%,0.42%,0.84%,4.47%,2.42%,2.05%,3.20%,2.35%,0.85%
2017 Oct 11 16:59:09 [10] INFO  - ,8/28/2015 12:00:00 AM,1.05%,-0.48%,-3.21%,2.73%,0.89%,-1.20%,2.10%,1.76%,-0.56%,2.32%
2017 Oct 11 16:59:09 [10] INFO  - ,9/4/2015 12:00:00 AM,-1.33%,-0.55%,0.44%,-0.98%,-0.06%,0.62%,-0.65%,-0.60%,0.39%,-0.97%
2017 Oct 11 16:59:09 [10] INFO  - ,9/11/2015 12:00:00 AM,0.57%,0.22%,0.14%,0.06%,0.09%,0.05%,0.04%,0.22%,0.14%,0.06%
2017 Oct 11 16:59:09 [10] INFO  - ,9/18/2015 12:00:00 AM,-0.30%,0.25%,0.11%,0.10%,0.10%,0.14%,-0.08%,0.25%,0.11%,0.10%
2017 Oct 11 16:59:09 [10] INFO  - ,9/25/2015 12:00:00 AM,0.02%,-0.23%,-0.28%,0.06%,0.25%,-0.12%,0.39%,-0.58%,-0.48%,-0.09%
2017 Oct 11 16:59:09 [10] INFO  - ,10/2/2015 12:00:00 AM,-0.70%,1.06%,0.86%,0.16%,1.26%,1.05%,0.18%,1.06%,0.86%,0.16%
2017 Oct 11 16:59:09 [10] INFO  - ,10/9/2015 12:00:00 AM,1.74%,-2.49%,-1.84%,-0.66%,-2.88%,-2.06%,-0.83%,-2.59%,-1.92%,-0.68%
2017 Oct 11 16:59:09 [10] INFO  - ,10/16/2015 12:00:00 AM,2.17%,0.96%,1.07%,-0.14%,0.72%,0.97%,-0.27%,0.94%,0.99%,-0.07%
2017 Oct 11 16:59:09 [10] INFO  - ,10/23/2015 12:00:00 AM,1.49%,3.22%,2.79%,0.42%,2.56%,2.23%,0.35%,2.88%,2.26%,0.63%
2017 Oct 11 16:59:09 [10] INFO  - ,10/30/2015 12:00:00 AM,-0.93%,-0.25%,-0.32%,0.07%,0.06%,-0.19%,0.24%,0.12%,-0.19%,0.31%
