2017 Oct 11 16:57:47 [9] INFO  - Dates,Mean Reversion 
2017 Oct 11 16:57:49 [9] INFO  - 6/27/2006 12:00:00 AM,0.00683
2017 Oct 11 16:57:49 [9] INFO  - 6/28/2006 12:00:00 AM,0.00177
2017 Oct 11 16:57:49 [9] INFO  - 6/29/2006 12:00:00 AM,0.00149
2017 Oct 11 16:57:49 [9] INFO  - 6/30/2006 12:00:00 AM,-0.00405
2017 Oct 11 16:57:49 [9] INFO  - 7/3/2006 12:00:00 AM,0.00396
2017 Oct 11 16:57:49 [9] INFO  - 7/5/2006 12:00:00 AM,0.00603
2017 Oct 11 16:57:49 [9] INFO  - 7/6/2006 12:00:00 AM,0.00364
2017 Oct 11 16:57:49 [9] INFO  - 7/7/2006 12:00:00 AM,-0.00323
2017 Oct 11 16:57:49 [9] INFO  - 7/10/2006 12:00:00 AM,0.00177
2017 Oct 11 16:57:49 [9] INFO  - 7/11/2006 12:00:00 AM,-0.00146
2017 Oct 11 16:57:49 [9] INFO  - 7/12/2006 12:00:00 AM,0.00075
2017 Oct 11 16:57:49 [9] INFO  - 7/13/2006 12:00:00 AM,0.00332
2017 Oct 11 16:57:49 [9] INFO  - 7/14/2006 12:00:00 AM,0.00107
2017 Oct 11 16:57:49 [9] INFO  - 7/17/2006 12:00:00 AM,0.00039
2017 Oct 11 16:57:49 [9] INFO  - 7/18/2006 12:00:00 AM,0.00227
2017 Oct 11 16:57:49 [9] INFO  - 7/19/2006 12:00:00 AM,0.01146
2017 Oct 11 16:57:49 [9] INFO  - 7/20/2006 12:00:00 AM,-0.00162
2017 Oct 11 16:57:49 [9] INFO  - 7/21/2006 12:00:00 AM,-0.00117
2017 Oct 11 16:57:49 [9] INFO  - 7/24/2006 12:00:00 AM,-0.00019
2017 Oct 11 16:57:49 [9] INFO  - 7/25/2006 12:00:00 AM,-0.00638
2017 Oct 11 16:57:49 [9] INFO  - 7/26/2006 12:00:00 AM,0.00315
2017 Oct 11 16:57:49 [9] INFO  - 7/27/2006 12:00:00 AM,0.00967
2017 Oct 11 16:57:49 [9] INFO  - 7/28/2006 12:00:00 AM,0.00625
2017 Oct 11 16:57:49 [9] INFO  - 7/31/2006 12:00:00 AM,0.00081
2017 Oct 11 16:57:49 [9] INFO  - 8/1/2006 12:00:00 AM,-0.00071
2017 Oct 11 16:57:49 [9] INFO  - 8/2/2006 12:00:00 AM,-0.00683
2017 Oct 11 16:57:49 [9] INFO  - 8/3/2006 12:00:00 AM,-0.0026
2017 Oct 11 16:57:49 [9] INFO  - 8/4/2006 12:00:00 AM,0.00303
2017 Oct 11 16:57:49 [9] INFO  - 8/7/2006 12:00:00 AM,-7E-05
2017 Oct 11 16:57:49 [9] INFO  - 8/8/2006 12:00:00 AM,-0.00328
2017 Oct 11 16:57:49 [9] INFO  - 8/9/2006 12:00:00 AM,0.00724
2017 Oct 11 16:57:49 [9] INFO  - 8/10/2006 12:00:00 AM,-0.00135
2017 Oct 11 16:57:49 [9] INFO  - 8/11/2006 12:00:00 AM,-0.00062
2017 Oct 11 16:57:49 [9] INFO  - 8/14/2006 12:00:00 AM,0.00127
2017 Oct 11 16:57:49 [9] INFO  - 8/15/2006 12:00:00 AM,-0.00066
2017 Oct 11 16:57:49 [9] INFO  - 8/16/2006 12:00:00 AM,0.0007
2017 Oct 11 16:57:49 [9] INFO  - 8/17/2006 12:00:00 AM,0.00256
2017 Oct 11 16:57:49 [9] INFO  - 8/18/2006 12:00:00 AM,0.00276
2017 Oct 11 16:57:49 [9] INFO  - 8/21/2006 12:00:00 AM,0.0032
2017 Oct 11 16:57:49 [9] INFO  - 8/22/2006 12:00:00 AM,-0.00109
2017 Oct 11 16:57:49 [9] INFO  - 8/23/2006 12:00:00 AM,-0.00082
2017 Oct 11 16:57:49 [9] INFO  - 8/24/2006 12:00:00 AM,0.00414
2017 Oct 11 16:57:49 [9] INFO  - 8/25/2006 12:00:00 AM,-0.00088
2017 Oct 11 16:57:49 [9] INFO  - 8/28/2006 12:00:00 AM,0.00116
2017 Oct 11 16:57:49 [9] INFO  - 8/29/2006 12:00:00 AM,0.00106
2017 Oct 11 16:57:49 [9] INFO  - 8/30/2006 12:00:00 AM,-0.00058
2017 Oct 11 16:57:49 [9] INFO  - 8/31/2006 12:00:00 AM,0.00165
2017 Oct 11 16:57:49 [9] INFO  - 9/1/2006 12:00:00 AM,-0.00238
2017 Oct 11 16:57:49 [9] INFO  - 9/5/2006 12:00:00 AM,0.00014
2017 Oct 11 16:57:49 [9] INFO  - 9/6/2006 12:00:00 AM,0.00048
2017 Oct 11 16:57:49 [9] INFO  - 9/7/2006 12:00:00 AM,-0.00126
2017 Oct 11 16:57:49 [9] INFO  - 9/8/2006 12:00:00 AM,-4E-05
2017 Oct 11 16:57:49 [9] INFO  - 9/11/2006 12:00:00 AM,-0.00268
2017 Oct 11 16:57:49 [9] INFO  - 9/12/2006 12:00:00 AM,-0.00563
